statenum,casenum,vnumber,pnumber,city,county,accdate,accday,accmon,caseyear,driverdrowsy,latitude,longitude,age,airbag,prf1,prf2,prf3,restraint,body,gvwrating,vfatcount,make,model,modelyr,vrf1,vrf2,drivpres,drf1,drf2,drf3,drf4,dridistract
1,2,1,1,1716,73,1/10/16,10,1,2016,0,33.40030556,-86.78723333,24,8,0,0,0,7,4,0,1,37,31,2008,0,0,1,0,0,0,0,0
1,2,1,2,1716,73,1/10/16,10,1,2016,0,33.40030556,-86.78723333,22,8,0,0,0,7,4,0,1,37,31,2008,0,0,1,0,0,0,0,0
1,3,1,1,0,73,1/1/16,1,1,2016,0,33.64924444,-86.60725833,22,1,0,0,0,7,31,0,1,20,481,2008,0,0,1,0,0,0,0,0
1,6,1,1,0,109,1/1/16,1,1,2016,0,31.72063333,-85.95999167,58,8,0,0,0,7,30,0,1,49,472,2009,0,0,1,58,0,0,0,99
1,7,1,1,530,117,1/1/16,1,1,2016,0,33.14415,-86.79276944,44,8,0,0,0,7,4,0,1,63,34,2010,0,0,1,99,99,99,99,99
1,9,1,1,2545,103,1/4/16,4,1,2016,0,34.50008611,-86.85370278,69,1,0,0,0,3,30,0,0,35,472,2015,0,0,1,89,28,0,0,99
1,9,2,1,2545,103,1/4/16,4,1,2016,0,34.50008611,-86.85370278,20,8,0,0,0,7,3,0,2,48,46,2015,0,0,1,0,0,0,0,0
1,9,2,2,2545,103,1/4/16,4,1,2016,0,34.50008611,-86.85370278,19,8,0,0,0,7,3,0,2,48,46,2015,0,0,1,0,0,0,0,0
1,9,2,3,2545,103,1/4/16,4,1,2016,0,34.50008611,-86.85370278,22,8,0,0,0,7,3,0,2,48,46,2015,0,0,1,0,0,0,0,0
1,14,1,1,2100,97,1/8/16,8,1,2016,0,30.62527222,-88.08787222,25,20,0,0,0,7,4,0,1,35,47,2009,0,0,1,28,0,0,0,99
1,14,1,2,2100,97,1/8/16,8,1,2016,0,30.62527222,-88.08787222,4,20,0,0,0,7,4,0,1,35,47,2009,0,0,1,28,0,0,0,99
1,14,1,3,2100,97,1/8/16,8,1,2016,0,30.62527222,-88.08787222,60,20,0,0,0,7,4,0,1,35,47,2009,0,0,1,28,0,0,0,99
1,14,1,4,2100,97,1/8/16,8,1,2016,0,30.62527222,-88.08787222,1,3,0,0,0,7,4,0,1,35,47,2009,0,0,1,28,0,0,0,99
1,15,2,1,0,121,1/8/16,8,1,2016,0,33.56590278,-85.93993056,75,8,0,0,0,3,20,0,0,37,441,2014,0,0,1,0,0,0,0,0
1,15,2,2,0,121,1/8/16,8,1,2016,0,33.56590278,-85.93993056,11,8,0,0,0,3,20,0,0,37,441,2014,0,0,1,0,0,0,0,0
1,18,1,1,0,71,1/13/16,13,1,2016,0,34.56575,-86.03709444,69,1,0,0,0,3,4,0,1,20,37,2015,0,0,1,0,0,0,0,99
1,23,1,1,9997,83,1/14/16,14,1,2016,0,34.87481944,-86.98070556,32,99,0,0,0,99,4,0,2,20,2,2008,0,0,1,0,0,0,0,0
1,23,1,2,9997,83,1/14/16,14,1,2016,0,34.87481944,-86.98070556,22,99,0,0,0,99,4,0,2,20,2,2008,0,0,1,0,0,0,0,0
1,26,1,1,1730,89,1/15/16,15,1,2016,0,34.71243611,-86.67097778,19,8,0,0,0,3,4,0,1,52,46,2009,0,0,1,89,85,0,0,0
1,26,1,2,1730,89,1/15/16,15,1,2016,0,34.71243611,-86.67097778,63,8,0,0,0,99,4,0,1,52,46,2009,0,0,1,89,85,0,0,0
1,26,2,1,1730,89,1/15/16,15,1,2016,0,34.71243611,-86.67097778,62,8,0,0,0,3,14,0,0,37,402,2014,0,0,1,0,0,0,0,0
1,26,2,2,1730,89,1/15/16,15,1,2016,0,34.71243611,-86.67097778,61,8,0,0,0,3,14,0,0,37,402,2014,0,0,1,0,0,0,0,0
1,26,3,1,1730,89,1/15/16,15,1,2016,0,34.71243611,-86.67097778,65,1,0,0,0,3,6,0,0,63,37,2012,0,0,1,89,0,0,0,0
1,29,1,1,0,123,1/14/16,14,1,2016,0,33.09165833,-85.77912222,46,20,0,0,0,7,4,0,1,35,47,2012,0,0,1,28,0,0,0,99
1,30,1,1,2780,33,1/10/16,10,1,2016,0,34.74736111,-87.68036667,22,8,0,0,0,7,4,0,1,20,2,2008,0,0,1,0,0,0,0,99
1,30,1,2,2780,33,1/10/16,10,1,2016,0,34.74736111,-87.68036667,25,8,0,0,0,99,4,0,1,20,2,2008,0,0,1,0,0,0,0,99
