Obs.	statenum	casenum	vnumber	pnumber	city	accdate	accday	accmon	caseyear	driverdrowsy	latitude	longitude	age	airbag	prf1	prf2	prf3	restraint	body	gvwrating	vfatcount	make	model	modelyr	vrf1	vrf2	drivpres	drf1	drf2	drf3	drf4	dridistract	

1	1	4	1	1	350	01012017	1	1	2017	0	33.51017500	-86.89400278	18	8	0	0	0	3	4	0	1	30	46	2014	0	0	1	53	28	37	0	99	
2	1	5	1	1	0	01012017	1	1	2017	0	31.94723611	-86.55677778	67	1	0	0	0	3	34	0	1	12	471	2010	0	0	1	0	0	0	0	99	
3	1	5	1	2	0	01012017	1	1	2017	0	31.94723611	-86.55677778	17	20	0	0	0	3	34	0	1	12	471	2010	0	0	1	0	0	0	0	99	
4	1	7	1	1	350	01112017	11	1	2017	0	33.54551111	-86.76139444	26	20	0	0	0	99	4	0	1	55	33	2015	0	0	1	0	0	0	0	99	
5	1	10	1	1	0	01142017	14	1	2017	0	33.66844167	-86.55342500	34	20	0	0	0	3	34	0	0	20	481	2011	0	0	1	0	0	0	0	00	
6	1	11	1	1	0	01152017	15	1	2017	0	32.39305833	-85.98393056	65	8	0	0	0	3	4	0	1	19	22	2008	0	0	1	50	0	0	0	00	
7	1	11	2	1	0	01152017	15	1	2017	0	32.39305833	-85.98393056	43	1	0	0	0	3	4	0	1	7	24	2008	0	0	1	0	0	0	0	00	
8	1	13	1	1	0	01012017	1	1	2017	0	34.96279722	-86.79522222	38	1	0	0	0	3	4	0	2	35	50	2009	0	0	1	39	89	0	0	00	
9	1	13	1	2	0	01012017	1	1	2017	0	34.96279722	-86.79522222	35	20	0	0	0	3	4	0	2	35	50	2009	0	0	1	39	89	0	0	00	
10	1	13	1	3	0	01012017	1	1	2017	0	34.96279722	-86.79522222	11	20	0	0	0	20	4	0	2	35	50	2009	0	0	1	39	89	0	0	00	
11	1	13	1	4	0	01012017	1	1	2017	0	34.96279722	-86.79522222	15	20	0	0	0	20	4	0	2	35	50	2009	0	0	1	39	89	0	0	00	
12	1	14	3	1	0	01022017	2	1	2017	0	34.09405556	-86.80004722	46	1	0	0	0	20	34	0	0	20	481	2016	0	0	1	0	0	0	0	00	
13	1	17	1	1	2130	01042017	4	1	2017	0	32.18711944	-86.04081111	76	1	0	0	0	20	4	0	1	30	40	2011	0	0	1	28	39	0	0	00	
14	1	18	2	1	680	01042017	4	1	2017	0	33.26630833	-86.35220833	36	1	0	0	0	20	6	0	1	63	37	2011	0	0	1	0	0	0	0	00	
15	1	23	1	1	0	01052017	5	1	2017	0	34.49385833	-87.25871389	38	1	0	0	0	3	4	0	0	12	17	2013	0	0	1	89	39	0	0	00	
16	1	23	4	1	0	01052017	5	1	2017	0	34.49385833	-87.25871389	46	20	0	0	0	3	4	0	0	35	47	2016	0	0	1	0	0	0	0	00	
17	1	30	1	1	0	01122017	12	1	2017	0	32.41738611	-87.08320000	30	1	0	0	0	20	15	0	1	20	423	2016	0	0	1	28	0	0	0	99	
18	1	31	2	1	0	01132017	13	1	2017	0	33.76197222	-86.04339167	44	20	0	0	0	3	34	0	1	12	481	2008	0	0	1	0	0	0	0	00	
19	1	31	3	1	0	01132017	13	1	2017	0	33.76197222	-86.04339167	62	8	0	0	0	3	4	0	0	20	37	2015	0	0	1	0	0	0	0	00	
20	1	34	1	1	0	01142017	14	1	2017	0	32.35299722	-86.96958611	28	8	0	0	0	3	4	0	1	37	32	2009	0	0	1	38	74	0	0	00	
21	1	34	1	2	0	01142017	14	1	2017	0	32.35299722	-86.96958611	29	8	0	0	0	20	4	0	1	37	32	2009	0	0	1	38	74	0	0	00	
22	1	34	2	1	0	01142017	14	1	2017	0	32.35299722	-86.96958611	40	8	0	0	0	3	2	0	0	20	9	2015	0	0	1	0	0	0	0	00	
23	1	37	2	1	3050	01142017	14	1	2017	0	33.19260278	-87.52617778	24	1	0	0	0	3	14	0	0	2	403	2012	0	0	1	0	0	0	0	00	
24	1	41	1	1	0	01212017	21	1	2017	0	31.88147222	-85.89694167	28	8	0	0	0	20	4	0	2	12	23	2012	0	0	1	28	0	0	0	99	
25	1	41	1	2	0	01212017	21	1	2017	0	31.88147222	-85.89694167	29	8	0	0	0	20	4	0	2	12	23	2012	0	0	1	28	0	0	0	99	
26	1	44	1	1	0	01232017	23	1	2017	0	30.37024722	-87.70101111	67	1	0	0	0	20	4	0	1	49	40	2009	0	0	1	0	0	0	0	00	
27	1	46	1	1	1633	01242017	24	1	2017	0	34.84603611	-85.62599167	16	20	0	0	0	3	4	0	0	6	18	2015	0	0	1	0	0	0	0	00	
28	1	46	1	2	1633	01242017	24	1	2017	0	34.84603611	-85.62599167	12	20	0	0	0	3	4	0	0	6	18	2015	0	0	1	0	0	0	0	00	
29	1	50	1	1	0	01282017	28	1	2017	0	33.41917500	-86.67650278	80	1	0	0	0	20	4	0	1	37	31	2017	0	0	1	28	0	0	0	00	
30	1	50	2	1	0	01282017	28	1	2017	0	33.41917500	-86.67650278	43	8	0	0	0	3	4	0	0	54	44	2015	0	0	1	0	0	0	0	00	
31	1	50	2	2	0	01282017	28	1	2017	0	33.41917500	-86.67650278	41	8	0	0	0	3	4	0	0	54	44	2015	0	0	1	0	0	0	0	00	
32	1	50	2	3	0	01282017	28	1	2017	0	33.41917500	-86.67650278	12	8	0	0	0	3	4	0	0	54	44	2015	0	0	1	0	0	0	0	00	
33	1	53	1	1	1730	01172017	17	1	2017	0	34.81576944	-86.49146389	41	20	0	0	0	3	15	0	0	49	422	2008	0	0	1	89	0	0	0	00	
34	1	53	1	2	1730	01172017	17	1	2017	0	34.81576944	-86.49146389	998	20	0	0	0	3	15	0	0	49	422	2008	0	0	1	89	0	0	0	00	
35	1	55	2	1	2100	01262017	26	1	2017	0	30.69777222	-88.10623611	42	8	0	0	0	3	21	0	1	20	461	2015	0	0	1	0	0	0	0	00	
36	1	55	2	2	2100	01262017	26	1	2017	0	30.69777222	-88.10623611	45	20	0	0	0	3	21	0	1	20	461	2015	0	0	1	0	0	0	0	00	
