"","casenum","statenum","vehnum","pnum","age","numfatal","day","month","year","date","modelyear","make","cellphoneuse","dup"
"1",2,1,1,1,24,1,10,1,2016,"01/2016",2008,37,0,"yes"
"2",2,1,1,2,22,1,10,1,2016,"01/2016",2008,37,0,"yes"
"3",3,1,1,1,22,1,1,1,2016,"01/2016",2008,20,0,"no"
"4",6,1,1,1,58,1,1,1,2016,"01/2016",2009,49,0,"no"
"5",7,1,1,1,44,1,1,1,2016,"01/2016",2010,63,0,"no"
"6",9,1,1,1,69,0,4,1,2016,"01/2016",2015,35,0,"yes"
"7",9,1,2,1,20,2,4,1,2016,"01/2016",2015,48,0,"yes"
"8",9,1,2,2,19,2,4,1,2016,"01/2016",2015,48,0,"yes"
"9",9,1,2,3,22,2,4,1,2016,"01/2016",2015,48,0,"yes"
"10",14,1,1,1,25,1,8,1,2016,"01/2016",2009,35,0,"yes"
"11",14,1,1,2,4,1,8,1,2016,"01/2016",2009,35,0,"yes"
"12",14,1,1,3,60,1,8,1,2016,"01/2016",2009,35,0,"yes"
"13",14,1,1,4,1,1,8,1,2016,"01/2016",2009,35,0,"yes"
"14",15,1,2,1,75,0,8,1,2016,"01/2016",2014,37,0,"yes"
"15",15,1,2,2,11,0,8,1,2016,"01/2016",2014,37,0,"yes"
"16",18,1,1,1,69,1,13,1,2016,"01/2016",2015,20,0,"no"
"17",23,1,1,1,32,2,14,1,2016,"01/2016",2008,20,0,"yes"
"18",23,1,1,2,22,2,14,1,2016,"01/2016",2008,20,0,"yes"
"19",26,1,1,1,19,1,15,1,2016,"01/2016",2009,52,0,"yes"
"20",26,1,1,2,63,1,15,1,2016,"01/2016",2009,52,0,"yes"
"21",26,1,2,1,62,0,15,1,2016,"01/2016",2014,37,0,"yes"
"22",26,1,2,2,61,0,15,1,2016,"01/2016",2014,37,0,"yes"
"23",26,1,3,1,65,0,15,1,2016,"01/2016",2012,63,0,"yes"
"24",29,1,1,1,46,1,14,1,2016,"01/2016",2012,35,0,"no"
"25",30,1,1,1,22,1,10,1,2016,"01/2016",2008,20,0,"yes"
"26",30,1,1,2,25,1,10,1,2016,"01/2016",2008,20,0,"yes"
"27",30,1,1,3,25,1,10,1,2016,"01/2016",2008,20,0,"yes"
"28",31,1,3,1,54,1,21,1,2016,"01/2016",2015,63,0,"no"
"29",32,1,1,1,32,0,21,1,2016,"01/2016",2015,23,0,"yes"
"30",32,1,1,2,4,0,21,1,2016,"01/2016",2015,23,0,"yes"
"31",32,1,1,3,2,0,21,1,2016,"01/2016",2015,23,0,"yes"
"32",33,1,1,1,61,0,21,1,2016,"01/2016",2010,37,0,"no"
"33",34,1,2,1,25,0,22,1,2016,"01/2016",2008,23,0,"yes"
"34",34,1,2,2,25,0,22,1,2016,"01/2016",2008,23,0,"yes"
"35",34,1,2,3,0,0,22,1,2016,"01/2016",2008,23,0,"yes"
"36",35,1,1,1,85,0,22,1,2016,"01/2016",2015,18,0,"yes"
"37",35,1,1,2,90,0,22,1,2016,"01/2016",2015,18,0,"yes"
"38",38,1,1,1,29,1,26,1,2016,"01/2016",2010,7,0,"no"
"39",41,1,2,1,37,0,28,1,2016,"01/2016",2014,42,0,"yes"
"40",41,1,2,2,5,0,28,1,2016,"01/2016",2014,42,0,"yes"
"41",41,1,2,3,13,0,28,1,2016,"01/2016",2014,42,0,"yes"
"42",41,1,2,4,7,0,28,1,2016,"01/2016",2014,42,0,"yes"
"43",41,1,2,5,11,0,28,1,2016,"01/2016",2014,42,0,"yes"
"44",46,1,1,1,22,1,7,2,2016,"02/2016",2014,35,0,"yes"
"45",46,1,1,2,2,1,7,2,2016,"02/2016",2014,35,0,"yes"
"46",48,1,2,1,31,1,12,2,2016,"02/2016",2012,52,0,"yes"
"47",48,1,3,1,22,0,12,2,2016,"02/2016",2014,2,0,"yes"
"48",48,1,3,2,26,0,12,2,2016,"02/2016",2014,2,0,"yes"
"49",50,1,1,1,31,1,12,2,2016,"02/2016",2015,12,0,"no"
"50",52,1,1,1,39,0,30,1,2016,"01/2016",2008,6,0,"yes"
"51",52,1,1,2,36,0,30,1,2016,"01/2016",2008,6,0,"yes"
"52",52,1,1,3,20,0,30,1,2016,"01/2016",2008,6,0,"yes"
"53",54,1,2,1,18,0,1,2,2016,"02/2016",2010,30,0,"no"
"54",55,1,1,1,31,0,3,2,2016,"02/2016",2013,35,0,"yes"
"55",55,1,2,1,35,1,3,2,2016,"02/2016",2014,20,0,"yes"
"56",59,1,1,1,64,0,6,2,2016,"02/2016",2015,63,0,"no"
"57",61,1,2,1,28,0,8,2,2016,"02/2016",2012,2,0,"yes"
"58",61,1,3,1,25,0,8,2,2016,"02/2016",2014,41,0,"yes"
"59",62,1,1,1,71,1,9,2,2016,"02/2016",2009,49,0,"no"
"60",63,1,4,1,52,0,22,3,2016,"03/2016",2011,52,0,"no"
"61",66,1,1,1,53,1,7,2,2016,"02/2016",2008,20,0,"no"
"62",67,1,1,1,83,1,9,2,2016,"02/2016",2014,49,0,"no"
"63",73,1,1,1,55,0,26,2,2016,"02/2016",2015,30,0,"no"
"64",77,1,1,1,26,0,16,2,2016,"02/2016",2011,20,0,"yes"
"65",77,1,2,1,73,2,16,2,2016,"02/2016",2014,42,0,"yes"
"66",77,1,2,2,55,2,16,2,2016,"02/2016",2014,42,0,"yes"
"67",80,1,1,1,22,2,18,2,2016,"02/2016",2014,20,0,"yes"
"68",80,1,1,2,18,2,18,2,2016,"02/2016",2014,20,0,"yes"
"69",81,1,1,1,87,3,18,2,2016,"02/2016",2015,13,0,"yes"
"70",81,1,1,2,84,3,18,2,2016,"02/2016",2015,13,0,"yes"
"71",81,1,1,3,77,3,18,2,2016,"02/2016",2015,13,0,"yes"
"72",82,1,1,1,19,1,20,2,2016,"02/2016",2011,55,1,"yes"
"73",82,1,1,2,19,1,20,2,2016,"02/2016",2011,55,1,"yes"
"74",85,1,1,1,56,0,21,2,2016,"02/2016",2011,12,0,"no"
"75",88,1,2,1,49,0,23,2,2016,"02/2016",2016,12,0,"no"
"76",91,1,1,1,58,0,25,2,2016,"02/2016",2012,20,0,"no"
"77",94,1,1,1,28,1,26,2,2016,"02/2016",2008,20,0,"no"
"78",109,1,1,1,34,0,5,3,2016,"03/2016",2010,20,0,"yes"
"79",109,1,1,2,31,0,5,3,2016,"03/2016",2010,20,0,"yes"
"80",112,1,1,1,22,1,7,3,2016,"03/2016",2008,2,0,"yes"
"81",112,1,1,2,20,1,7,3,2016,"03/2016",2008,2,0,"yes"
"82",113,1,1,1,60,0,8,3,2016,"03/2016",2011,35,0,"no"
"83",114,1,1,1,25,1,8,3,2016,"03/2016",2008,12,0,"no"
"84",117,1,1,1,55,0,9,3,2016,"03/2016",2013,55,0,"yes"
"85",117,1,2,1,47,0,9,3,2016,"03/2016",2013,30,0,"yes"
"86",123,1,1,1,41,1,15,3,2016,"03/2016",2010,30,0,"no"
"87",126,1,1,1,19,1,19,3,2016,"03/2016",2008,49,0,"yes"
"88",126,1,1,2,19,1,19,3,2016,"03/2016",2008,49,0,"yes"
"89",130,1,1,1,32,0,29,3,2016,"03/2016",2008,59,1,"no"
"90",132,1,1,1,35,1,31,3,2016,"03/2016",2008,20,0,"no"
"91",139,1,1,1,35,1,19,3,2016,"03/2016",2010,20,0,"no"
"92",144,1,2,1,47,0,11,3,2016,"03/2016",2010,14,0,"no"
"93",148,1,2,1,29,0,17,3,2016,"03/2016",2012,23,0,"no"
"94",152,1,1,1,72,1,22,3,2016,"03/2016",2010,49,0,"no"
"95",155,1,2,1,19,1,24,3,2016,"03/2016",2011,63,0,"yes"
"96",155,1,2,2,20,1,24,3,2016,"03/2016",2011,63,0,"yes"
"97",160,1,1,1,23,1,29,3,2016,"03/2016",2012,30,0,"no"
"98",164,1,1,1,20,2,30,3,2016,"03/2016",2008,14,0,"yes"
"99",164,1,1,2,22,2,30,3,2016,"03/2016",2008,14,0,"yes"
"100",170,1,1,1,23,1,3,4,2016,"04/2016",2014,12,0,"no"
"101",171,1,1,1,24,0,14,4,2016,"04/2016",2014,63,0,"no"
"102",184,1,1,1,70,0,3,4,2016,"04/2016",2009,49,0,"yes"
"103",184,1,1,2,62,0,3,4,2016,"04/2016",2009,49,0,"yes"
"104",193,1,2,1,61,0,23,4,2016,"04/2016",2013,18,0,"no"
"105",195,1,1,1,30,1,25,4,2016,"04/2016",2015,63,0,"no"
"106",196,1,1,1,56,1,25,4,2016,"04/2016",2013,23,0,"no"
"107",199,1,2,1,25,0,29,4,2016,"04/2016",2011,20,0,"no"
"108",201,1,1,1,78,0,2,2,2016,"02/2016",2009,49,0,"no"
"109",203,1,2,1,27,1,13,2,2016,"02/2016",2016,35,0,"yes"
"110",203,1,2,2,42,1,13,2,2016,"02/2016",2016,35,0,"yes"
"111",203,1,2,3,4,1,13,2,2016,"02/2016",2016,35,0,"yes"
"112",203,1,2,4,6,1,13,2,2016,"02/2016",2016,35,0,"yes"
"113",203,1,2,5,53,1,13,2,2016,"02/2016",2016,35,0,"yes"
"114",205,1,2,1,49,0,16,2,2016,"02/2016",2011,20,0,"yes"
"115",205,1,2,2,66,0,16,2,2016,"02/2016",2011,20,0,"yes"
"116",211,1,1,1,82,1,9,2,2016,"02/2016",2015,12,0,"yes"
"117",211,1,1,2,82,1,9,2,2016,"02/2016",2015,12,0,"yes"
"118",212,1,2,1,20,0,7,2,2016,"02/2016",2010,37,0,"no"
"119",217,1,1,1,26,1,4,2,2016,"02/2016",2015,12,0,"no"
"120",218,1,1,1,43,1,2,1,2016,"01/2016",2008,20,0,"no"
"121",227,1,1,1,18,0,2,1,2016,"01/2016",2011,12,0,"yes"
"122",227,1,2,1,27,1,2,1,2016,"01/2016",2012,20,0,"yes"
"123",227,1,2,2,20,1,2,1,2016,"01/2016",2012,20,0,"yes"
"124",227,1,2,3,12,1,2,1,2016,"01/2016",2012,20,0,"yes"
"125",227,1,3,1,41,0,2,1,2016,"01/2016",2008,2,0,"yes"
"126",227,1,3,2,17,0,2,1,2016,"01/2016",2008,2,0,"yes"
"127",231,1,1,1,61,1,21,4,2016,"04/2016",2011,19,0,"no"
"128",239,1,1,1,42,2,3,5,2016,"05/2016",2009,12,0,"yes"
"129",239,1,1,2,27,2,3,5,2016,"05/2016",2009,12,0,"yes"
"130",239,1,1,3,25,2,3,5,2016,"05/2016",2009,12,0,"yes"
"131",246,1,1,1,68,1,7,5,2016,"05/2016",2011,37,0,"yes"
"132",246,1,2,1,74,0,7,5,2016,"05/2016",2015,49,0,"yes"
"133",246,1,2,2,71,0,7,5,2016,"05/2016",2015,49,0,"yes"
