"","agemax","make","persontotal"
"1",82,12,12
"2",18,12,54
"3",42,12,27
"4",68,12,18
"5",44,12,46
"6",25,12,33
"7",50,12,40
"8",58,12,49
"9",72,12,15
"10",48,12,48
"11",40,12,32
"12",52,12,34
"13",33,12,49
"14",28,12,50
"15",37,12,50
"16",36,12,46
"17",41,12,23
"18",43,12,43
"19",77,12,16
"20",53,12,36
"21",78,12,22
"22",26,12,32
"23",27,12,39
"24",91,12,10
"25",75,12,18
"26",22,12,59
"27",59,12,34
"28",39,12,39
"29",45,12,33
"30",80,12,10
"31",63,12,23
"32",32,12,47
"33",61,12,41
"34",66,12,25
"35",83,12,12
"36",57,12,28
"37",24,12,57
"38",31,12,59
"39",69,12,33
"40",23,12,43
"41",95,12,5
"42",16,12,8
"43",67,12,35
"44",74,12,19
"45",84,12,17
"46",17,12,6
"47",81,12,3
"48",19,12,27
"49",20,12,41
"50",54,12,41
"51",51,12,31
"52",30,12,57
"53",65,12,26
"54",29,12,44
"55",34,12,51
"56",49,12,28
"57",55,12,39
"58",71,12,26
"59",92,12,4
"60",56,12,24
"61",64,12,24
"62",47,12,37
"63",86,12,10
"64",76,12,7
"65",73,12,18
"66",85,12,13
"67",21,12,44
"68",88,12,4
"69",62,12,26
"70",79,12,20
"71",38,12,36
"72",35,12,30
"73",46,12,43
"74",70,12,39
"75",90,12,3
"76",60,12,33
"77",93,12,4
"78",100,12,2
"79",94,12,4
"80",89,12,7
"81",87,12,5
"82",96,12,2
"83",73,19,4
"84",75,19,5
"85",39,19,11
"86",50,19,3
"87",24,19,4
"88",49,19,1
"89",37,19,2
"90",25,19,2
"91",80,19,7
"92",48,19,5
"93",74,19,4
"94",78,19,2
"95",77,19,5
"96",65,19,2
"97",46,19,2
"98",38,19,5
"99",70,19,1
"100",64,19,1
"101",81,19,2
"102",68,19,3
"103",79,19,3
"104",27,19,4
"105",88,19,2
"106",44,19,1
"107",85,19,2
"108",28,19,8
"109",22,19,4
"110",69,19,2
"111",55,19,3
"112",36,19,3
"113",71,19,2
"114",56,19,4
"115",84,19,3
"116",31,19,2
"117",76,19,2
"118",63,19,2
"119",30,19,2
"120",23,19,4
"121",45,19,2
"122",53,19,3
"123",34,19,4
"124",37,42,7
"125",73,42,6
"126",31,42,6
"127",52,42,13
"128",17,42,1
"129",28,42,5
"130",46,42,7
"131",68,42,5
"132",29,42,4
"133",44,42,6
"134",43,42,2
"135",38,42,3
"136",22,42,3
"137",60,42,3
"138",35,42,6
"139",70,42,5
"140",19,42,3
"141",69,42,11
"142",16,42,3
"143",91,42,3
"144",50,42,3
"145",47,42,1
"146",77,42,2
"147",21,42,3
"148",30,42,3
"149",39,42,5
"150",61,42,5
"151",51,42,7
"152",20,42,2
"153",25,42,3
"154",36,42,2
"155",74,42,3
"156",53,42,3
"157",63,42,3
"158",59,42,5
"159",66,42,4
"160",40,42,4
"161",24,42,6
"162",23,42,2
"163",34,42,3
"164",45,42,5
"165",84,42,2
"166",71,42,13
"167",54,42,6
"168",22,51,1
"169",44,51,1
"170",47,51,2
"171",62,51,2
"172",35,51,1
"173",70,51,3
"174",32,51,1
"175",79,51,1
"176",58,51,4
"177",16,51,2
"178",55,51,3
"179",28,51,6
"180",24,51,2
"181",69,51,3
"182",67,51,1
"183",61,51,3
"184",38,51,4
"185",50,51,1
"186",18,51,1
"187",68,51,2
"188",61,19,1
"189",43,19,2
"190",33,19,2
"191",66,19,2
"192",21,19,1
"193",86,19,2
"194",72,19,2
"195",16,19,1
"196",32,19,1
"197",67,19,1
"198",47,19,1
"199",40,19,1
"200",52,19,1
"201",59,19,1
"202",18,19,1
"203",90,19,1
"204",51,19,1
"205",26,19,1
"206",62,19,1
"207",58,19,1
"208",32,42,2
"209",78,42,1
"210",26,42,2
"211",82,42,1
"212",79,42,1
"213",64,42,1
"214",57,42,1
"215",65,42,2
"216",83,42,1
"217",89,42,1
"218",33,42,3
"219",76,42,1
"220",55,42,1
"221",41,42,1
"222",48,51,1
"223",36,51,2
"224",64,51,1
"225",60,51,1
"226",46,51,1
"227",25,51,1
"228",21,51,1
"229",23,51,1
"230",75,51,1
"231",30,51,1
