casenum,statenum,vehnum,persontotal,agemin,agemax,numfatal,day,month,year,date,modelyear,make,makename,cellphoneuse
211,1,1,2,82,82,1,9,2,2016,16-Feb,2015,12,Ford,0
227,1,1,1,18,18,0,2,1,2016,16-Jan,2011,12,Ford,0
239,1,1,3,25,42,2,3,5,2016,16-May,2009,12,Ford,0
264,1,1,1,68,68,0,12,5,2016,16-May,2010,12,Ford,0
271,1,1,1,44,44,1,18,5,2016,16-May,2011,12,Ford,0
339,1,1,2,24,25,2,9,6,2016,16-Jun,2009,12,Ford,0
396,1,2,1,50,50,0,21,4,2016,16-Apr,2012,12,Ford,0
397,1,2,4,8,58,1,9,4,2016,16-Apr,2011,12,Ford,0
417,1,1,1,72,72,0,15,7,2016,16-Jul,2014,12,Ford,0
417,1,4,4,22,48,0,15,7,2016,16-Jul,2012,12,Ford,0
462,1,1,4,6,40,1,3,8,2016,16-Aug,2014,12,Ford,0
485,1,1,1,52,52,0,9,8,2016,16-Aug,2015,12,Ford,0
489,1,1,3,25,33,2,13,8,2016,16-Aug,2013,12,Ford,0
535,1,1,2,28,28,1,31,8,2016,16-Aug,2014,12,Ford,0
540,1,2,3,1,37,0,1,9,2016,16-Sep,2008,12,Ford,0
593,1,1,2,18,42,0,29,9,2016,16-Sep,2012,12,Ford,0
739,1,2,2,14,36,0,31,10,2016,16-Oct,2011,12,Ford,0
762,1,4,1,41,41,0,10,11,2016,16-Nov,2009,12,Ford,0
762,1,5,1,43,43,0,10,11,2016,16-Nov,2012,12,Ford,0
807,1,2,1,36,36,0,28,11,2016,16-Nov,2016,12,Ford,0
830,1,1,1,77,77,0,24,6,2016,16-Jun,2008,12,Ford,0
833,1,2,4,11,37,2,6,6,2016,16-Jun,2016,12,Ford,0
873,1,2,2,52,53,0,22,12,2016,16-Dec,2010,12,Ford,0
898,1,2,9,1,78,4,16,7,2016,16-Jul,2014,12,Ford,0
913,1,2,4,2,26,1,6,8,2016,16-Aug,2017,12,Ford,0
918,1,3,2,20,27,0,27,12,2016,16-Dec,2016,12,Ford,0
925,1,1,4,10,33,1,7,8,2016,16-Aug,2012,12,Ford,0
55,2,2,3,78,91,1,25,9,2016,16-Sep,2015,12,Ford,0
77,2,1,2,8,33,1,23,12,2016,16-Dec,2009,12,Ford,0
32,4,1,5,1,75,1,15,1,2016,16-Jan,2012,12,Ford,0
40,4,1,1,33,33,0,5,2,2016,16-Feb,2014,12,Ford,0
65,4,1,1,33,33,1,3,1,2016,16-Jan,2015,12,Ford,0
102,4,1,3,18,22,0,4,3,2016,16-Mar,2011,12,Ford,0
109,4,2,3,9,58,0,12,3,2016,16-Mar,2012,12,Ford,0
178,4,2,1,53,53,1,9,4,2016,16-Apr,2012,12,Ford,0
363,4,3,1,53,53,0,12,6,2016,16-Jun,2014,12,Ford,0
364,4,2,2,58,59,1,13,6,2016,16-Jun,2016,12,Ford,0
385,4,8,1,28,28,0,30,6,2016,16-Jun,2013,12,Ford,0
396,4,2,4,5,39,0,19,6,2016,16-Jun,2009,12,Ford,0
396,4,5,1,45,45,0,19,6,2016,16-Jun,2013,12,Ford,0
403,4,1,3,19,33,1,10,6,2016,16-Jun,2008,12,Ford,0
493,4,2,2,66,80,0,6,8,2016,16-Aug,2008,12,Ford,0
516,4,2,1,63,63,0,29,8,2016,16-Aug,2014,12,Ford,0
530,4,4,1,32,32,0,7,8,2016,16-Aug,2016,12,Ford,0
532,4,1,2,59,61,1,23,8,2016,16-Aug,2008,12,Ford,0
561,4,1,1,66,66,0,12,9,2016,16-Sep,2013,12,Ford,1
